Player,Position,Appearances,Club ID,Player ID,Team Name,interceptions_per_90_overall,aerial_duels_won_per_90_overall,duels_won_per_90_overall,conceded_per_90_overall,pass_completion_rate_overall,cards_per_90_overall,fouls_committed_per_90_overall,dribbled_past_per_90_overall,dispossesed_per_90_overall,goals_per_90_overall,key_passes_per_90_overall,assists_per_90_overall,dribbles_successful_per_90_overall,tackles_per_90_overall,Team Possession,Composite_Score
James Maddison,Attacking midfielder,22,92,839,Tottenham Hotspur,0.27599999999999997,0.09289617486338797,0.45644599303135885,-0.49488054607508525,0.9179530556142947,-0.25688073394495414,-0.3529411764705882,-0.23017902813299235,-0.29923273657289,0.8461538461538461,0.4986072423398329,0.5090909090909091,0.48916408668730654,0.2223926380368098,58,4.872862680830231
Casemiro,Defensive midfielder,14,149,464625,Manchester United,0.34400000000000003,0.5874316939890709,0.5386759581881533,-0.4027303754266211,0.8606470712624233,-0.10091743119266054,-0.24808184143222506,-0.4936061381074169,-0.19181585677749363,0.1692307692307692,0.4791086350974931,0.0,0.09907120743034056,0.642638036809816,53,4.855864060628607
Tyler Adams,Midfielder,13,148,420,AFC Bournemouth,1.0,0.360655737704918,0.49547038327526133,-0.4368600682593856,0.8884542186508776,-0.4311926605504587,-0.5728900255754477,-0.43734015345268545,-0.23529411764705885,0.0,0.2200557103064067,0.6363636363636364,0.0,0.7269938650306749,46,4.788070635617825
Thomas Partey,Defensive midfielder,22,59,467762,Arsenal,0.472,0.3224043715846994,0.37839721254355396,-0.31399317406143346,0.9385705223091562,-0.09174311926605505,-0.35805626598465473,-0.24808184143222506,-0.1381074168797954,0.15384615384615385,0.18105849582172703,0.18181818181818182,0.13312693498452013,0.42944785276073616,55,4.775605966477302
Sander Berge,Defensive midfielder,16,162,12826,Fulham,0.516,0.37704918032786877,0.33519163763066195,-0.32423208191126274,0.9560160710509622,-0.14678899082568805,-0.2634271099744246,-0.19693094629156013,-0.19693094629156013,0.0,0.2646239554317549,0.0,0.16099071207430343,0.4217791411042945,53,4.674236098709471
Pape Matar Sarr,Midfielder,23,92,690540,Tottenham Hotspur,0.488,0.37431693989071035,0.44041811846689893,-0.6450511945392491,0.929371960245295,-0.2660550458715596,-0.37084398976982097,-0.19437340153452687,-0.2736572890025576,0.1076923076923077,0.21169916434540392,0.2727272727272727,0.1888544891640867,0.39723926380368096,58,4.672809376092811
Cole Palmer,"Attacking midfielder, winger",23,152,165991,Chelsea,0.09200000000000001,0.0,0.29337979094076655,-0.3959044368600682,0.8620215690420808,-0.11926605504587155,-0.13043478260869568,-0.07161125319693096,-0.2276214833759591,0.9692307692307691,0.807799442896936,0.4909090909090909,0.346749226006192,0.10736196319018404,58,4.601944053366434
Ross Barkley,Midfielder,16,158,4017,Aston Villa,0.46399999999999997,0.36338797814207646,0.34773519163763067,-0.341296928327645,0.91805878621273,-0.4587155963302752,-0.38363171355498726,-0.17135549872122766,-0.340153452685422,0.7692307692307692,0.37047353760445684,0.3090909090909091,0.25696594427244585,0.3067484662576687,50,4.472520334621024
Tomáš Souček,Defensive midfielder,21,153,46200,West Ham United,0.332,0.9999999999999999,0.40696864111498254,-0.5699658703071672,0.7789173186720237,-0.35779816513761464,-0.4066496163682865,-0.12020460358056266,-0.10485933503836317,0.4307692307692308,0.23119777158774374,0.10909090909090909,0.03715170278637771,0.19938650306748468,47,4.445679064037676
Christian Nørgaard,Defensive midfielder,20,218,86928,Brentford,0.6880000000000001,0.3934426229508196,0.3965156794425087,-0.4744027303754266,0.8947980545569887,-0.30275229357798167,-0.3964194373401535,-0.21994884910485935,-0.19181585677749363,0.1692307692307692,0.15877437325905291,0.19999999999999998,0.05263157894736843,0.45858895705521474,48,4.408357593459839
